site,date,bombus.species,caste,plant.species,sample.id
Copper.Creek,14-Jul-15,Bombus.appositus,q,Delphinium.barbeyi,1
Gothic.Spires,9-Jul-15,Bombus.appositus,q,Delphinium.barbeyi,2
Stormy.Pass,21-Jun-15,Bombus.appositus,q,Delphinium.barbeyi,3
Rosy.Hills,14-Jun-15,Bombus.appositus,q,Delphinium.nuttallianum,4
Stormy.Pass,21-Jun-15,Bombus.appositus,q,Delphinium.nuttallianum,5
Stormy.Pass,22-Jun-15,Bombus.appositus,q,Delphinium.nuttallianum,6
Avery.Wash,2-Jul-15,Bombus.appositus,q,Hydrophyllum.fendleri,7
Avery.Wash,2-Jul-15,Bombus.appositus,q,Lathyrus.leucanthus,8
Stormy.Pass,25-Jun-15,Bombus.appositus,q,Lathyrus.leucanthus,9
Copper.Creek,14-Jun-15,Bombus.appositus,q,Pedicularis.bracteosa,10
Avery.Wash,8-Jul-15,Bombus.appositus,w,Vicia.americana,11
Gothic.Spires,5-Jul-19,Bombus.bifarius,w,Dodecatheon.pulchellum,12
Copper.Creek,14-Jun-15,Bombus.bifarius,q,Erythrocoma.triflora,13
Gothic.Spires,14-Jun-15,Bombus.bifarius,q,Hydrophyllum.capitatum,14
Gothic.Spires,14-Jun-15,Bombus.bifarius,q,Hydrophyllum.fendleri,15
Rosy.Hills,20-Jun-15,Bombus.bifarius,q,Hydrophyllum.fendleri,16
Frogs.Pond,3-Jun-15,Bombus.bifarius,w,Lupinus.bakeri,17
Frogs.Pond,15-Jun-15,Bombus.bifarius,q,Lupinus.bakeri,18
Frogs.Pond,18-Jun-15,Bombus.bifarius,q,Lupinus.bakeri,19
Avery.Wash,14-Jun-15,Bombus.bifarius,q,Mertensia.fusiformis,20
Gothic.Spires,14-Jun-15,Bombus.bifarius,q,Mertensia.fusiformis,21
NA,Jun-15,Bombus.bifarius,q,,22
Copper.Creek,14-Jun-15,Bombus.californicus,q,Delphinium.barbeyi+Lupinus.bakeri,23
Copper.Creek,12-Jun-15,Bombus.californicus,q,Delphinium.nuttallianum,24
Copper.Creek,12-Jun-15,Bombus.californicus,q,Delphinium.nuttallianum,25
Copper.Creek,14-Jun-15,Bombus.californicus,q,Delphinium.nuttallianum,26
Copper.Creek,15-Jun-15,Bombus.californicus,q,Delphinium.nuttallianum,27
Copper.Creek,15-Jun-15,Bombus.californicus,q,Delphinium.nuttallianum,28
Copper.Creek,15-Jun-15,Bombus.californicus,q,Delphinium.nuttallianum,29
Gothic.Spires,4-Jun-15,Bombus.californicus,q,Delphinium.nuttallianum,30
Rosy.Hills,20-Jul-15,Bombus.flavifrons,w,Delphinium.barbeyi,31
