"sample.id","Genus","Taxon","Percent_Sample"
3,"Delphinium","Delphinium barbeyi",98
3,"Eremogone","Eremogone congesta",0.5
3,"Potentilla","Potentilla pulcherrima",0.5
3,"Taraxacum","Taraxacum officinale",0.5
3,"Mertensia","Mertensia cilita",0.25
3,"Mertensia","Mertensia fusiformis",0.25
4,"Delphinium","Delphinium nuttallianum",98.5
4,"Symphyotrichum","Symphyotrichum foliaceum",0.5
4,"Viola","Viola canadensis",0.5
4,"Viola","Viola praemorsa",0.5
6,"Delphinium","Delphinium barbeyi",49.1477943776229
6,"Delphinium","Delphinium nuttallianum",49.1477943776229
6,"Hydrophyllum","Hydrophyllum fendleri",0.704411244754139
6,"Dasiphora","Dasiphora fruticosa",0.5
6,"Symphyotrichum","Symphyotrichum foliaceum",0.5
9,"Delphinium","Delphinium barbeyi",36.0558109968226
9,"Delphinium","Delphinium nuttallianum",36.0558109968226
9,"Hydrophyllum","Hydrophyllum fendleri",13.7383780063548
9,"Vicia","Vicia americana",13.15
9,"Erigeron","Erigeron speciosus",0.5
9,"Lathyrus ","Lathyrus leucanthus",0.5
10,"Pedicularis","Pedicularis bracteosa",97.5
10,"Dasiphora","Dasiphora fruticosa",0.5
10,"Epilobium","Epilobium canum",0.5
10,"Lupinus","Lupinus sericeus",0.5
10,"Mertensia","Mertensia fusiformis",0.5
10,"Taraxacum","Taraxacum officinale",0.5
14,"Hydrophyllum","Hydrophyllum capitatum",94.9370529327611
14,"Mertensia","Mertensia fusiformis",2.29041487839771
14,"Taraxacum","Taraxacum officinale",0.772532188841202
14,"Chamaenerion","Chamaenerion angustifolium",0.5
14,"Lathyrus","Lathyrus lanszwertii",0.5
14,"Lupinus","Lupinus sericeus",0.5
14,"Senecio","Senecio integerrimus",0.5
15,"Taraxacum","Taraxacum officinale",70.3614457831325
15,"Ribes","Ribes rubrum",5.54216867469879
15,"Hydrophyllum","Hydrophyllum fendleri",4.21686746987952
15,"Mertensia","Mertensia fusiformis",0.72289156626506
15,"Potentilla","Potentilla pulcherrima",0.5
15,"Senecio","Senecio integerrimus",0.5
18,"Mertensia","Mertensia fusiformis",77.2227838258165
18,"Lupinus","Lupinus sericeus",17.8137636080871
18,"Hydrophyllum","Hydrophyllum fendleri",2.1061430793157
18,"Ericaceae","Ericaceae",1.85730948678071
18,"Salix","Salix",0.5
18,"Senecio","Senecio integerrimus",0.5
19,"Hydrophyllum","Hydrophyllum fendleri",94.0602409638554
19,"Lupinus","Lupinus sericeus",3.93975903614458
19,"Epilobium","Epilobium",0.5
19,"Lathyrus","Lathyrus lanszwertii",0.5
19,"Senecio","Senecio integerrimus",0.5
19,"Taraxacum","Taraxacum officinale",0.5
20,"Mertensia","Mertensia fusiformis",93.5420326223337
20,"Hydrophyllum","Hydrophyllum fendleri",4.45796737766624
20,"Geum","Geum triflorum",0.5
20,"Lupinus","Lupinus sericeus",0.5
20,"Parnassia","Parnassia palustris",0.5
20,"Senecio","Senecio integerrimus",0.5
21,"Hydrophyllum","Hydrophyllum capitatum",97.5
21,"Geum","Geum triflorum",0.5
21,"Lupinus","Lupinus sericeus",0.5
21,"Mertensia","Mertensia fusiformis",0.5
21,"Parnassia","Parnassia palustris",0.5
21,"Senecio","Senecio integerrimus",0.5
23,"Delphinium","Delphinium barbeyi",97.6805341948659
23,"Lithophragma","Lithophragma glabrum",0.819465805134119
23,"Potentilla","Potentilla pulcherrima",0.5
23,"Viola","Viola adunca",0.5
23,"Viola","Viola praemorsa",0.5
24,"Delphinium","Delphinium nuttallianum",98.5
24,"Dasiphora","Dasiphora fruticosa",0.5
24,"Parnassia","Parnassia palustris",0.5
24,"Taraxacum","Taraxacum officinale",0.5
25,"Delphinium","Delphinium nuttallianum",98.315329022442
25,"Taraxacum","Taraxacum officinale",0.684670977558007
25,"Dasiphora","Dasiphora fruticosa",0.5
25,"Parnassia","Parnassia palustris",0.5
26,"Mertensia","Mertensia fusiformis",55.4
26,"Delphinium","Delphinium nuttallianum",43.5083961744764
26,"Taraxacum","Taraxacum officinale",0.759493670886076
26,"Hydrophyllum","Hydrophyllum capitatum",0.289072179954025
27,"Delphinium","Delphinium nuttallianum",98.1689024528866
27,"Lupinus","Lupinus sericeus",0.740740740740741
27,"Parnassia","Parnassia palustris",0.5
27,"Hydrophyllum","Hydrophyllum capitatum",0.295178403186313
27,"Hydrophyllum","Hydrophyllum fendleri",0.295178403186313
28,"Delphinium","Delphinium nuttallianum",99
28,"Mertensia","Mertensia fusiformis",0.5
28,"Salix","Salix",0.5
29,"Delphinium","Delphinium nuttallianum",96.5
29,"Campanula","Campanula rotundifolia",0.5
29,"Helianthella","Helianthella quinquenervis",0.5
29,"Lupinus","Lupinus sericeus",0.5
29,"Mertensia","Mertensia fusiformis",0.5
29,"Pedicularis","Pedicularis bracteosa",0.5
29,"Phlox","Phlox douglasii",0.5
29,"Salix","Salix",0.5
30,"Delphinium","Delphinium nuttallianum",98.5
30,"Erigeron","Erigeron elatior",0.5
30,"Lupinus","Lupinus sericeus",0.5
30,"Mertensia","Mertensia fusiformis",0.5
32,"Delphinium","Delphinium nuttallianum",98.1767622632606
32,"Hydrophyllum","Hydrophyllum fendleri",0.823237736739396
32,"Mertensia","Mertensia fusiformis",0.5
32,"Salix","Salix",0.5
33,"Mertensia","Mertensia fusiformis",46.7282051282051
33,"Delphinium","Delphinium nuttallianum",42.1884825556957
33,"Lupinus","Lupinus sericeus",6.34358974358974
33,"Hydrophyllum","Hydrophyllum capitatum",1.36986128625473
33,"Hydrophyllum","Hydrophyllum fendleri",1.36986128625473
33,"Salix","Salix",0.5
33,"Symphyotrichum","Symphyotrichum foliaceum",0.5
33,"Viola","Viola canadensis",0.5
33,"Viola","Viola praemorsa",0.5
35,"Delphinium","Delphinium nuttallianum",96.8215709403377
