"sample.id","name","Genus","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","Family","Order","Rank","taxonomy_lvl"
"14","Hydrophyllum fendleri","Hydrophyllum",11717,69233,16.9240102263372,"Hydrophyllaceae","Boraginales","species",NA
"14","Hydrophyllum capitatum","Hydrophyllum",8250,69233,11.9162826975575,"Hydrophyllaceae","Boraginales","species",NA
"14","Taraxacum officinale","Taraxacum",1671,69233,2.41358889546892,"Asteraceae","Asterales","species",NA
"14","Mertensia fusiformis","Mertensia",1469,69233,2.12182051911661,"Boraginaceae","Boraginales","species",NA
"14","Lupinus argenteus","Lupinus",1058,69233,1.52817298109283,"Fabaceae","Fabales","species",NA
"14","Mertensia ciliata","Mertensia",812,69233,1.17285109702021,"Boraginaceae","Boraginales","species",NA
"14","Chamaenerion angustifolium","Chamaenerion",664,69233,0.959080207415539,"Onagraceae","Myrtales","species",NA
"15","Taraxacum officinale","Taraxacum",10424,74768,13.9417932805478,"Asteraceae","Asterales","species",NA
"15","Hydrophyllum fendleri","Hydrophyllum",2213,74768,2.95982238390755,"Hydrophyllaceae","Boraginales","species",NA
"17","Lupinus argenteus","Lupinus",182233,484682,37.5984666234768,"Fabaceae","Fabales","species",NA
"17",NA,NA,137873,484682,28.4460739206325,"Asteraceae","Asterales","species",NA
"17","Lupinus sericeus","Lupinus",131686,484682,27.1695668500171,"Fabaceae","Fabales","species",NA
"17","Taraxacum officinale","Taraxacum",4575,484682,0.943917867797855,"Asteraceae","Asterales","species",NA
"18","Lupinus argenteus","Lupinus",115509,595570,19.3946975166647,"Fabaceae","Fabales","species",NA
"18","Mertensia fusiformis","Mertensia",100038,595570,16.7970179827728,"Boraginaceae","Boraginales","species",NA
"18",NA,NA,61187,595570,10.2736873919103,"Asteraceae","Asterales","species",NA
"18","Lupinus sericeus","Lupinus",58766,595570,9.86718605705459,"Fabaceae","Fabales","species",NA
"18","Mertensia ciliata","Mertensia",31354,595570,5.26453649445069,"Boraginaceae","Boraginales","species",NA
"19","Hydrophyllum capitatum","Hydrophyllum",22933,154482,14.8450952214497,"Hydrophyllaceae","Boraginales","species",NA
"19","Hydrophyllum fendleri","Hydrophyllum",11233,154482,7.27139731489753,"Hydrophyllaceae","Boraginales","species",NA
"19","Lupinus argenteus","Lupinus",1789,154482,1.15806372263435,"Fabaceae","Fabales","species",NA
"19","Chamaenerion angustifolium","Chamaenerion",1412,154482,0.914022345645447,"Onagraceae","Myrtales","species",NA
"19",NA,NA,1185,154482,0.767079659766186,"Asteraceae","Asterales","species",NA
"19","Lupinus sericeus","Lupinus",1129,154482,0.730829481751919,"Fabaceae","Fabales","species",NA
"20","Mertensia fusiformis","Mertensia",15244,49733,30.6516799710454,"Boraginaceae","Boraginales","species",NA
"20","Mertensia ciliata","Mertensia",15152,49733,30.4666921360063,"Boraginaceae","Boraginales","species",NA
"20","Lupinus argenteus","Lupinus",3852,49733,7.74536022359399,"Fabaceae","Fabales","species",NA
"20","Hydrophyllum fendleri","Hydrophyllum",3119,49733,6.27148975529327,"Hydrophyllaceae","Boraginales","species",NA
"20","Lupinus sericeus","Lupinus",947,49733,1.90416825850039,"Fabaceae","Fabales","species",NA
"20","Taraxacum officinale","Taraxacum",703,49733,1.41354834817928,"Asteraceae","Asterales","species",NA
"21","Hydrophyllum fendleri","Hydrophyllum",17841,28613,62.3527767098871,"Hydrophyllaceae","Boraginales","species",NA
"21","Hydrophyllum capitatum","Hydrophyllum",987,28613,3.44948100513753,"Hydrophyllaceae","Boraginales","species",NA
"21","Lupinus argenteus","Lupinus",466,28613,1.62863034285115,"Fabaceae","Fabales","species",NA
"21","Lupinus sericeus","Lupinus",341,28613,1.19176598049837,"Fabaceae","Fabales","species",NA
"21","Taraxacum officinale","Taraxacum",332,28613,1.16031174640897,"Asteraceae","Asterales","species",NA
"21","Mertensia fusiformis","Mertensia",290,28613,1.01352532065844,"Boraginaceae","Boraginales","species",NA
"22","Lupinus argenteus","Lupinus",4,32,12.5,"Fabaceae","Fabales","species",NA
"22","Mertensia ciliata","Mertensia",2,32,6.25,"Boraginaceae","Boraginales","species",NA
"22","Lupinus sericeus","Lupinus",2,32,6.25,"Fabaceae","Fabales","species",NA
"22","Hydrophyllum fendleri","Hydrophyllum",2,32,6.25,"Hydrophyllaceae","Boraginales","species",NA
"22","Mertensia fusiformis","Mertensia",1,32,3.125,"Boraginaceae","Boraginales","species",NA
"24","Taraxacum officinale","Taraxacum",430,11984,3.58811748998665,"Asteraceae","Asterales","species",NA
"24","Dasiphora fruticosa","Dasiphora",150,11984,1.25166889185581,"Rosaceae","Rosales","species",NA
"25","Taraxacum officinale","Taraxacum",464,54231,0.85559919603179,"Asteraceae","Asterales","species",NA
"25","Dasiphora fruticosa","Dasiphora",257,54231,0.473898692629677,"Rosaceae","Rosales","species",NA
"26","Taraxacum officinale","Taraxacum",8434,388389,2.17153420925927,"Asteraceae","Asterales","species",NA
"26","Hydrophyllum capitatum","Hydrophyllum",2375,388389,0.611500325704384,"Hydrophyllaceae","Boraginales","species",NA
