"sample.id","Taxon","Genus","taxonomy_id","taxonomy_lvl","kraken_assigned_reads","added_reads","new_est_reads","fraction_total_reads","Family","Order","Rank"
"10","Agastache pallidiflora","Agastache",313656,"S",15145,480,15625,0.20751,"Lamiaceae","Lamiales","species"
"10","Mertensia ciliata","Mertensia",1288209,"S",3823,8129,11952,0.15873,"Boraginaceae","Boraginales","species"
"10","Erigeron sp.","Erigeron",91271,"G",3885,2444,6329,0.08405,NA,NA,"genus"
"10","Lupinus argenteus","Lupinus",53216,"S",3068,2547,5615,0.07457,"Fabaceae","Fabales","species"
"10","Mertensia fusiformis","Mertensia",1463753,"S",2365,2798,5163,0.06857,"Boraginaceae","Boraginales","species"
"10","Lupinus sericeus","Lupinus",61075,"S",3394,1412,4806,0.06383,"Fabaceae","Fabales","species"
"10","Taraxacum officinale","Taraxacum",50225,"S",2584,51,2635,0.03499,"Asteraceae","Asterales","species"
"10","Arenaria lanuginosa","Arenaria",2887378,"S",1683,922,2605,0.0346,NA,NA,"species"
"10","Delphinium nuttallianum","Delphinium",136334,"S",2961,650,3611,0.04796,"Ranunculaceae","Ranunculales","species"
"10","Dasiphora fruticosa","Dasiphora",32239,"S",1608,25,1633,0.02169,"Rosaceae","Rosales","species"
"10","Helianthella quinquenervis","Helianthella",53582,"S",1270,304,1574,0.0209,"Asteraceae","Asterales","species"
"10","Hydrophyllum capitatum","Hydrophyllum",79360,"S",1407,56,1463,0.01943,"Hydrophyllaceae","Boraginales","species"
"10","Epilobium sp.","Epilobium",33131,"G",880,3,883,0.01173,NA,NA,"genus"
"10","Hypericum scouleri","Hypericum",65561,"S",784,3,787,0.01045,NA,NA,"species"
"10","Frasera speciosa","Frasera",50758,"S",757,27,784,0.01041,"Gentianaceae","Gentianales","species"
"10","Aquilegia elegantula","Aquilegia",46965,"S",647,66,713,0.00947,"Ranunculaceae","Ranunculales","species"
"10","Pseudognaphalium macounii","Pseudognaphalium",1754165,"S",693,20,713,0.00947,NA,NA,"species"
"10","Aquilegia sp.","Aquilegia",46965,"G",647,66,713,0.00947,NA,NA,"genus"
"10","Cirsium sp.","Cirsium",92907,"G",671,8,679,0.00902,NA,NA,"genus"
"10","Astragalus sp.","Astragalus",47093,"G",523,0,523,0.00695,NA,NA,"genus"
"12","Hydrophyllum fendleri","Hydrophyllum",86854,"S",19420,2938,22358,0.31221,"Hydrophyllaceae","Boraginales","species"
"12","Mertensia ciliata","Mertensia",1288209,"S",884,6837,7721,0.10782,"Boraginaceae","Boraginales","species"
"12","Hydrophyllum sp.","Hydrophyllum",85212,"G",4945,21,4966,0.06935,NA,NA,"genus"
"12","Lupinus argenteus","Lupinus",53216,"S",1030,3804,4834,0.0675,"Fabaceae","Fabales","species"
"12","Erigeron sp.","Erigeron",91271,"G",4763,3159,7922,0.11062,NA,NA,"genus"
"12","Lupinus sericeus","Lupinus",61075,"S",1345,2457,3802,0.05309,"Fabaceae","Fabales","species"
"12","Arenaria lanuginosa","Arenaria",2887378,"S",1678,1964,3642,0.05086,NA,NA,"species"
"12","Agastache pallidiflora","Agastache",313656,"S",2917,106,3023,0.04221,"Lamiaceae","Lamiales","species"
"12","Mertensia fusiformis","Mertensia",1463753,"S",620,2168,2788,0.03893,"Boraginaceae","Boraginales","species"
"12","Cirsium parryi","Cirsium",2718697,"S",1299,294,1593,0.02224,"Asteraceae","Asterales","species"
"12","Hypericum scouleri","Hypericum",65561,"S",1542,23,1565,0.02185,NA,NA,"species"
"12","Hydrophyllum capitatum","Hydrophyllum",79360,"S",1100,178,1278,0.01785,"Hydrophyllaceae","Boraginales","species"
"12","Taraxacum officinale","Taraxacum",50225,"S",1046,32,1078,0.01505,"Asteraceae","Asterales","species"
"12","Ribes sp.","Ribes",175228,"G",976,1,977,0.01364,NA,NA,"genus"
"12","Epilobium sp.","Epilobium",33131,"G",830,9,839,0.01172,NA,NA,"genus"
"12","Helianthella quinquenervis","Helianthella",53582,"S",771,53,824,0.01151,"Asteraceae","Asterales","species"
"12","Cynoglossum officinale","Cynoglossum",1037329,"S",798,9,807,0.01127,NA,NA,"species"
"12","Androsace septentrionalis","Androsace",229527,"S",503,33,536,0.00748,NA,NA,"species"
"14","Hydrophyllum sp.","Hydrophyllum",85212,"G",46151,154,46305,0.52496,NA,NA,"genus"
"14","Hydrophyllum fendleri","Hydrophyllum",86854,"S",17689,1744,19433,0.22031,"Hydrophyllaceae","Boraginales","species"
"14","Hydrophyllum capitatum","Hydrophyllum",79360,"S",10516,368,10884,0.12339,"Hydrophyllaceae","Boraginales","species"
"14","Mertensia fusiformis","Mertensia",1463753,"S",1571,843,2414,0.02737,"Boraginaceae","Boraginales","species"
"14","Taraxacum officinale","Taraxacum",50225,"S",1660,466,2126,0.0241,"Asteraceae","Asterales","species"
"14","Mertensia ciliata","Mertensia",1288209,"S",1069,1042,2111,0.02393,"Boraginaceae","Boraginales","species"
"14","Lupinus argenteus","Lupinus",53216,"S",902,602,1504,0.01705,"Fabaceae","Fabales","species"
"14","Nemophila breviflora","Nemophila",79376,"S",1156,40,1196,0.01356,NA,NA,"species"
"15","Taraxacum officinale","Taraxacum",50225,"S",14187,675,14862,0.17107,"Asteraceae","Asterales","species"
"15","Agastache pallidiflora","Agastache",313656,"S",7252,328,7580,0.08725,"Lamiaceae","Lamiales","species"
"15","Mertensia ciliata","Mertensia",1288209,"S",747,5381,6128,0.07053,"Boraginaceae","Boraginales","species"
"15","Arenaria lanuginosa","Arenaria",2887378,"S",3008,3074,6082,0.07001,NA,NA,"species"
"15","Lupinus sericeus","Lupinus",61075,"S",2390,3612,6002,0.06908,"Fabaceae","Fabales","species"
"15","Lupinus argenteus","Lupinus",53216,"S",1022,3444,4466,0.0514,"Fabaceae","Fabales","species"
"15","Sorbus scopulina","Sorbus",1572685,"S",5864,2108,7972,0.09175,NA,NA,NA
"15","Erigeron sp.","Erigeron",91271,"G",1436,3029,4465,0.05139,NA,NA,"genus"
"15","Hydrophyllum fendleri","Hydrophyllum",86854,"S",3203,460,3663,0.04216,"Hydrophyllaceae","Boraginales","species"
"15","Crataegus erythropoda","Crataegus",2894908,"S",2894,190,3084,0.0355,NA,NA,"species"
"15","Rosaceae",NA,1770156,"F",2502,442,2944,0.03389,NA,NA,NA
"15","Senecio integerrimus","Senecio",2841768,"S",2640,87,2727,0.03139,"Asteraceae","Asterales","species"
"15","Senecio sp.","Senecio",2841768,"G",2640,87,2727,0.03139,NA,NA,"genus"
"15","Ribes sp.","Ribes",175228,"G",2540,5,2545,0.02929,NA,NA,"genus"
"15","Mertensia fusiformis","Mertensia",1463753,"S",535,1771,2306,0.02654,"Boraginaceae","Boraginales","species"
"15","Dasiphora fruticosa","Dasiphora",32239,"S",1512,37,1549,0.01783,"Rosaceae","Rosales","species"
"15","Hydrophyllum capitatum","Hydrophyllum",79360,"S",1145,168,1313,0.01511,"Hydrophyllaceae","Boraginales","species"
"15","Taraxacum campylodes","Taraxacum",90027,"S",1184,68,1252,0.01441,NA,NA,"species"
"15","Epilobium sp.","Epilobium",33131,"G",1230,12,1242,0.0143,NA,NA,"genus"
"15","Hydrophyllum sp.","Hydrophyllum",85212,"G",1013,3,1016,0.01169,NA,NA,"genus"
"15","Hypericum scouleri","Hypericum",65561,"S",939,18,957,0.01102,NA,NA,"species"
"15","Viola sp.","Viola",97441,"G",724,51,775,0.00892,NA,NA,"genus"
"15","Cynoglossum officinale","Cynoglossum",1037329,"S",730,2,732,0.00843,NA,NA,"species"
