EcologicalSiteId,UFOPlots,ASSOCIATION
R034BY404CO,27,DONE
R036XY325CO,11,DONE
R036XY114CO,10,DONE
R036XY113CO,9,DONE
R036XY284CO,8,DONE
R034BY109UT,7,DONE
R034BY106UT,6,NONE LISTED
R034BY117UT,4,DONE
R036XY287CO,4,DONE
R034BY104UT,3,DONE
R034BY410CO,3,NOT FOUND
F048AY918CO,2,NOT WRITTEN
R034BY322UT,2,DONE
R034BY402CO,2,NOT FOUND
R034XY401CO,2,NOT FOUND
R034XY404CO,2,NOT FOUND
R048AY238CO,2,NOT FOUND
F048AY449CO,1,NOT WRITTEN
F048AY499CO,1,NOT FOUIND
R034BY006UT,1,NONE LISTED
R034BY112UT,1,DONE
R034BY302UT,1,DONE
R034BY403CO,1,NOT FOUND
R034XY403CO,1,NOT FOUND
R034XY410CO,1,NOT FOUND
R035XY325CO,1,NOT FOUND
R036XY111CO,1,DONE
R036XY289CO,1,DONE
R036XY326CO,1,DONE
R042XB036NM,1,DONE
R048AY228CO,1,NOT WRITTEN
R048AY229CO,1,NOT WRITTEN
R048AY247CO,1,NOT WRITTEN
R048AY322UT,1,NOT WRITTEN
R048AY379CO,1,NOT WRITTEN
