"Sample","Taxon","Rank","Genus","Family","Order","n"
"10","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",15145
"10","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",4856
"10","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",4107
"10","Cirsium sp.","Genus","Cirsium","Asteraceae","Asterales",3866
"10","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",3823
"10","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",3394
"10","Cirsium parryi","Species","Cirsium","Asteraceae","Asterales",3095
"10","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",3068
"10","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",2596
"10","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",2365
"12","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",19420
"12","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",5472
"12","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",4957
"12","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",2917
"12","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",1797
"12","Hypericum scouleri","Species","Hypericum","Hypericaceae","Malpighiales",1542
"12","Cirsium sp.","Genus","Cirsium","Asteraceae","Asterales",1488
"12","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",1345
"12","Cirsium parryi","Species","Cirsium","Asteraceae","Asterales",1299
"12","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",1100
"14","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",47701
"14","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",17689
"14","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",10516
"14","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",2250
"14","Symphyotrichum foliaceum","Species","Symphyotrichum","Asteraceae","Asterales",2040
"14","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",1862
"14","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",1571
"14","Nemophila breviflora","Species","Nemophila","Hydrophyllaceae","Boraginales",1156
"14","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",1069
"14","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",902
"15","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",15824
"15","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",7252
"15","Sorbus scopulina","Species","Sorbus","Rosaceae","Rosales",5864
"15","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",3278
"15","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",3203
"15","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",3153
"15","Crataegus erythropoda","Species","Crataegus","Rosaceae","Rosales",2894
"15","Ribes sp.","Genus","Ribes","Grossulariaceae","Saxifragales",2540
"15","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",2390
"15","Cirsium sp.","Genus","Cirsium","Asteraceae","Asterales",1645
"17","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",174734
"17","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",133411
"17","Lupinus sp.","Genus","Lupinus","Fabaceae","Fabales",49963
"17","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",6005
"17","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",5085
"17","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",4821
"17","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",3846
"17","Astragalus sp.","Genus","Astragalus","Fabaceae","Fabales",3360
"17","Salix sp.","Species","Populus","Salicaceae","Malpighiales",3005
"17","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",2827
