"site","date","species","caste","sample.id","morphotype","sum"
"Gothic.Spires","2015-07-09","appositus","q",2,"C",5
"Gothic.Spires","2015-07-09","appositus","q",2,"ASTERACEAE_1",19
"Stormy.Pass","2015-06-21","appositus","q",3,"C",2252
"Stormy.Pass","2015-06-21","appositus","q",3,"CONIFER",4
"Stormy.Pass","2015-06-21","appositus","q",3,"ASTERACEAE_2",1
"Stormy.Pass","2015-06-21","appositus","q",3,"MERTENSIA",1
"Rosy.Hills","2015-06-14","appositus","q",4,"C",4624
"Rosy.Hills","2015-06-14","appositus","q",4,"D",2
"Rosy.Hills","2015-06-14","appositus","q",4,"UNKNOWN",4
"Stormy.Pass","2015-06-21","appositus","q",5,"C",968
"Stormy.Pass","2015-06-21","appositus","q",5,"CONIFER",2
"Stormy.Pass","2015-06-21","appositus","q",5,"UNKNOWN",1
"Stormy.Pass","2015-06-21","appositus","q",5,"MERTENSIA",1
"Stormy.Pass","2015-06-21","appositus","q",5,"D",1
"Stormy.Pass","2015-06-22","appositus","q",6,"C",1256
"Stormy.Pass","2015-06-22","appositus","q",6,"UNKNOWN",1
"Stormy.Pass","2015-06-22","appositus","q",6,"UNKNOWN_(5B)",1
"Stormy.Pass","2015-06-22","appositus","q",6,"MERTENSIA",3
"Avery.Wash","2015-07-02","appositus","q",7,"C",8254
"Avery.Wash","2015-07-02","appositus","q",7,"D",2
"Avery.Wash","2015-07-02","appositus","q",7,"CONIFER",5
"Avery.Wash","2015-07-02","appositus","q",7,"B",58
"Avery.Wash","2015-07-02","appositus","q",7,"MERTENSIA",1
"Avery.Wash","2015-07-02","appositus","q",7,"ASTERACEAE_1",2
"Avery.Wash","2015-07-02","appositus","q",8,"B",1173
"Avery.Wash","2015-07-02","appositus","q",8,"C",246
"Avery.Wash","2015-07-02","appositus","q",8,"UNKNOWN",2
"Avery.Wash","2015-07-02","appositus","q",8,"MERTENSIA",20
"Avery.Wash","2015-07-02","appositus","q",8,"CONIFER",3
"Avery.Wash","2015-07-02","appositus","q",8,"ASTERACEAE_1",9
"Stormy.Pass","2015-06-25","appositus","q",9,"B",190
"Stormy.Pass","2015-06-25","appositus","q",9,"C",1219
"Stormy.Pass","2015-06-25","appositus","q",9,"UNKNOWN",2
"Stormy.Pass","2015-06-25","appositus","q",9,"MERTENSIA",2
"Stormy.Pass","2015-06-25","appositus","q",9,"CONIFER",3
"Copper.Creek","2015-06-14","appositus","q",10,"PEDICULARIS",3027
"Copper.Creek","2015-06-14","appositus","q",10,"C",89
"Copper.Creek","2015-06-14","appositus","q",10,"UNKNOWN",1
"Copper.Creek","2015-06-14","appositus","q",10,"MERTENSIA",1
"Avery.Wash","2015-07-08","appositus","w",11,"B",822
"Avery.Wash","2015-07-08","appositus","w",11,"C",7
"Avery.Wash","2015-07-08","appositus","w",11,"UNKNOWN",5
"Avery.Wash","2015-07-08","appositus","w",11,"MERTENSIA",6
"Avery.Wash","2015-07-08","appositus","w",11,"A",1
"Gothic.Spires","2019-07-05","bifarius","w",12,"C",1185
"Gothic.Spires","2019-07-05","bifarius","w",12,"UNKNOWN",168
"Gothic.Spires","2019-07-05","bifarius","w",12,"MERTENSIA",141
"Copper.Creek","2015-06-14","bifarius","q",13,"ROSACEAE",486
"Copper.Creek","2015-06-14","bifarius","q",13,"ASTERACEAE_2",11
"Copper.Creek","2015-06-14","bifarius","q",13,"C",1
"Copper.Creek","2015-06-14","bifarius","q",13,"MERTENSIA",16
"Copper.Creek","2015-06-14","bifarius","q",13,"UNKNOWN",0
