abbreviation,full
C.gunnisonii,Calochortus.gunnisonii
E.grandiflorum,Erythronium.grandiflorum
P.trachycarpa,Prosartes.trachycarpa
Potamogeton.sp.,Potamogeton.sp.
A.columbianum,Acontium.columbianum
A.coerulea,Aquilegia.coerulea
A.elegantula,Aquilegia.elegantula
Aquilegia.sp.,Aquilegia.sp.
A.coerulea,Aquilegia.coerulea
A.multifida,Anemone.multifida
Anemone.sp.,Anemone.sp.
A.rubra,Actaea.rubra
C.leptosepala,Caltha.leptosepala
D.barbeyi,Delphinium.barbeyi
D.nuttallianum,Delphinium.nuttallianum
Delphinium.sp.,Delphinium.sp.
T.fendleri,Thalictrum.fendleri
Thalictrum.sp,Thalictrum.sp.
Troliius.sp.,Troliius.sp.
Ribes.sp.,Ribes.sp.
R.rubrum,Ribes.rubrum
L.glabrum,Lithophragma.glabrum
Saxifraga.sp.,Saxifraga.sp.
B.repens,Berberis.repens
C.caseana,Corydalis.caseana
R.integrifolia,Rhodiola.integrifolia
Rhodiola.sp.,Rhodiola.sp.
R.rosea,Rhodiola.rosea
S.lanceolatum,Sedum.lanceolatum
P.fimbriata,Parnassia.fimbriata
P.myrsinites,Paxistima.myrsinites
H.scouleri,Hypericum.scouleri
P.palustris,Parnassia.palustris
A.alpinus,Astragalus.alpinus
Astragalus.sp.,Astragalus.sp.
L.leucanthus,Lathyrus.lecuanthus
L.argenteus,Lupinus.argenteus
L.sericeus,Lupinus.sericeus
V.americana,Vicia.americana
C.erythropoda,Crataegus.erythropoda
D.fruticosa,Dasiphora.fruticosa
Geum.sp.,Geum.sp.
G.triflorum,Geum.triflorum
H.dumosus,Holodiscus.dumosus
S.scopulina,Sorbus.scopulina
P.anserina,Potentilla.anserina
P.pulcherrima,Potentilla.pulcherrima
Rubus.sp.,Rubus.sp.
G.richardsonii,Geranium.richardsonii
Epilobium.sp.,Epilobium
E.canum,Epilobium.canum
C.angustifolium,Chamaenerion.angustifolium
S.canadenis,Sherpherida.canadensis
A.lanuginosa,Arenaria.lanuginosa
E.congesta,Eremogone.congesta
C.arvense,Cirsium.arvense
M.macrantha,Minuartia.macrantha
P.jamesiana,Pseudostellaria.jamesiana
S.saginoides,Sagina.saginoides
Stellaria.sp.,Stellaria.sp.
A.lewisii,Adenolinum.lewisii
Salix.sp.,Salix.sp.
V.adunca,Viola.adunca
V.canadensis,Viola.canadensis
V.praemorsa,Viola.praemorsa
C.lanceolata,Claytonia.lanceolata
Ericaceae.sp.,Ericaceae
G.humifusa,Gaultheria.humifusa
M.uniflora,Moneses.uniflora
O.secunda,Orthillia.secunda
V.scoparium,Vaccinium.scoparium
Vaccinium.sp.,Vaccinium.sp.
C.linearis,Collomia.linearis
I.aggregata,P.myrsinites
P.multiflora,Phlox.multiflora
P.douglasii,Phlox.douglasii
Phlox.sp.,Phlox.sp.
A.septentrionalis,Androsace.septentrionalis
A.pallidiflora,Agastache.pallidiflora
C.officinale,Cynoglossum.officinale
M.ciliata,Mertensia.ciliata
M.fusiformis,Mertensia.fusiformis
Mertensia.sp.,Mertensia.sp.
H.capitatum,Hydrophyllum.capitatum
H.fendleri,Hydrophyllum.fendleri
Hydrophyllum.sp.,Hydrophyllum.sp.
N.breviflora,Nemophila.breviflora
P.bracteosa,Pedicularis.bracteosa
C.rotundifolia,Campanula.rotundifolia
B.grandiflora,Brickiella.grandiflora
C.parryi,Cirsium.parryi
C.intermedia,Crepis.intermedia
C.viscidiflorus,Chrysothamnus.viscidiflorus
D.hoopesii,Dugaldia.hoopesii
Erigeron.sp,Erigeron.sp.
E.speciosus,Erigeron.speciosus
E.elatior,Erigeron.elatior
H.quinquenervis,Helianthella.quinquenervis
L.vulgare,Leucanthemum.vulgare
L.bigelovii,Ligularia.bigelovii
M.nutans,Microseris.nutans
P.macounii,Pseudognaphalium.macounii
R.integrifolia,Rudbeckia.integrifolia
S.scabra,Scabrethia.scabra
S.integerrimus,Senecio.integerrimus
Symphyotrichum.sp.,Symphyotrichum.sp.
S.foliaceum,Symphyotrichum.foliaceum
T.campylodes,Taraxacum.campylodes
T.officinale,Taraxacum.officinale
T.pygmaeus,Tonestus.pygmaeus
Townsendia.sp.,Townsendia.sp.
W.arizonica,Wyethia.arizonica
D.involucrata,Distegia.involucrata
L.involucrata,Lonicera.involucrata
V.occidentalis,Valeriana.occidentalis
F.speciosa,Frasera.speciosa
O.occidentalis,Osmorhiza.occidentalis
Osmorhiza.sp.,Osmorhiza.sp.
