"Sample","taxid","Seqs_pr_taxon","Total_seqs","Prcnt_seqs"
"10","Epilobium canum",15363,69748,22.0264380340655
"10","Agastache pallidiflora",10216,69748,14.6470149681711
"10","Mertensia fusiformis",3888,69748,5.57435338647703
"10","Mertensia ciliata",3584,69748,5.13849859494179
"10","Erigeron grandiflorus",3523,69748,5.05104089006136
"10","Taraxacum officinale",2819,69748,4.04169295176923
"10","Pseudognaphalium attenuatum",2765,69748,3.96427137695705
"10","Cirsium parryi",2458,69748,3.52411538682113
"10","Lupinus sericeus",1864,69748,2.67247806388714
"10","Dasiphora fruticosa",1691,69748,2.42444227791478
"10","Lupinus argenteus",1603,69748,2.29827378562826
"10","Symphyotrichum foliaceum",1495,69748,2.1434306360039
"10","Cynoglossum pringlei",1168,69748,1.67459998853014
"10","Helianthella quinquenervis",1042,69748,1.49394964730171
"10","Delphinium nuttallianum",958,69748,1.37351608648277
"12","Epilobium canum",22638,59050,38.3370025402201
"12","Hydrophyllum fendleri",12368,59050,20.9449618966977
"12","Hydrophyllum canadense",2641,59050,4.47248094834886
"12","Pseudognaphalium attenuatum",1997,59050,3.38187976291279
"12","Cynoglossum pringlei",1826,59050,3.09229466553768
"12","Agastache pallidiflora",1373,59050,2.32514817950889
"12","Karpatiosorbus devoniensis",1301,59050,2.20321761219306
"12","Erigeron grandiflorus",1225,59050,2.07451312447079
"12","Erigeron ecuadoriensis",1207,59050,2.04403048264183
"12","Taraxacum officinale",1045,59050,1.7696867061812
"12","Cirsium parryi",967,59050,1.63759525825572
"12","Erigeron uniflorus",819,59050,1.38696020321761
"12","Mertensia ciliata",787,59050,1.33276883996613
"12","Symphyotrichum foliaceum",737,59050,1.24809483488569
"12","Lupinus sericeus",692,59050,1.17188823031329
"14","Hydrophyllum canadense",36918,65007,56.790807143846
"14","Hydrophyllum fendleri",11722,65007,18.0319042564647
"14","Lathyrus lanszwertii",3012,65007,4.63334717799622
"14","Symphyotrichum foliaceum",2178,65007,3.35040841755503
"14","Taraxacum officinale",1690,65007,2.5997200301506
"14","Mertensia fusiformis",1481,65007,2.27821619210239
"14","Mertensia ciliata",871,65007,1.33985570784685
"14","Hydrophyllum capitatum",796,65007,1.22448351715969
"14","Chamaenerion angustifolium",664,65007,1.02142846155029
"14","Lupinus argenteus",606,65007,0.932207300752227
"14","Nemophila menziesii",543,65007,0.835294660575015
"14","Erigeron grandiflorus",479,65007,0.736843724521975
"14","Lupinus sericeus",478,65007,0.735305428646146
"14","Taraxacum cucullatum",298,65007,0.45841217099697
"14","Cirsium parryi",283,65007,0.435337732859538
"15","Epilobium canum",27119,74377,36.4615405300026
"15","Taraxacum officinale",10455,74377,14.0567648601046
"15","Pseudognaphalium attenuatum",4766,74377,6.40789491375022
"15","Karpatiosorbus devoniensis",4123,74377,5.54338034607473
"15","Cynoglossum pringlei",2672,74377,3.59250843674792
"15","Hydrophyllum fendleri",2213,74377,2.97538217459699
"15","Micromeles japonica",2106,74377,2.83152049692781
"15","Hedlundia austriaca",2045,74377,2.74950589563978
"15","Crataegus bipinnatifida",1888,74377,2.53841913494763
"15","Cirsium parryi",1638,74377,2.20229371983274
"15","Ribes rubrum",1620,74377,2.17809268994447
"15","Agastache pallidiflora",1437,74377,1.93204888608037
"15","Erigeron grandiflorus",1260,74377,1.69407209217903
"15","Taraxacum cucullatum",933,74377,1.25442004920876
"15","Mertensia ciliata",904,74377,1.21542950105543
"17","Lupinus argenteus",301593,469540,64.2315883630788
"17","Lupinus sericeus",128793,469540,27.4296119606423
"17","Mertensia ciliata",8987,469540,1.91400093708736
"17","Taraxacum officinale",4617,469540,0.983302807002598
"17","Erigeron grandiflorus",3778,469540,0.804617285002343
"17","Hydrophyllum canadense",3039,469540,0.647229203049793
"17","Populus alba",2383,469540,0.50751799633684
"17","Mertensia fusiformis",1797,469540,0.382714997657282
"17","Hydrophyllum capitatum",1592,469540,0.339055245559484
"17","Astragalus pelecinus",1537,469540,0.327341653533245
"17","Senecio tephrosioides",792,469540,0.168675725177834
"17","Taraxacum cucullatum",580,469540,0.123525152276696
"17","Hydrophyllum fendleri",572,469540,0.12182135707288
"17","Senecio funckii",563,469540,0.119904587468586
"17","Agastache pallidiflora",512,469540,0.109042893044256
"18","Lupinus argenteus",160507,588046,27.2949735224795
"18","Mertensia fusiformis",102535,588046,17.4365610853573
"18","Vaccinium vitis-idaea",89055,588046,15.1442234110937
"18","Populus alba",61979,588046,10.5398217146278
"18","Lupinus sericeus",58005,588046,9.8640242430014
"18","Mertensia ciliata",35762,588046,6.08149702574288
"18","Cynoglossum pringlei",10269,588046,1.74629195675168
"18","Gaultheria prostrata",7709,588046,1.31095186430993
"18","Hydrophyllum canadense",7518,588046,1.27847141210041
"18","Erigeron grandiflorus",6334,588046,1.07712661934611
"18","Cynoglossum anchusoides",6055,588046,1.0296813514589
"18","Cynoglossum amplifolium",4707,588046,0.800447584032542
"18","Senecio tephrosioides",3770,588046,0.641106308009918
"18","Epilobium canum",3538,588046,0.601653612132384
"18","Senecio funckii",2833,588046,0.481765031987294
"19","Hydrophyllum canadense",101079,141824,71.2707299187726
"19","Hydrophyllum fendleri",11234,141824,7.92108528880866
"19","Lathyrus lanszwertii",9072,141824,6.39666064981949
"19","Epilobium canum",4027,141824,2.83943479241877
"19","Lupinus argenteus",2447,141824,1.725377933213
"19","Chamaenerion angustifolium",1412,141824,0.995600180505415
"19","Nemophila menziesii",1216,141824,0.857400722021661
"19","Lupinus sericeus",1132,141824,0.79817238267148
"19","Pseudognaphalium attenuatum",837,141824,0.59016809566787
"19","Taraxacum officinale",769,141824,0.542221344765343
"19","Erigeron grandiflorus",757,141824,0.533760153429603
"19","Symphyotrichum foliaceum",738,141824,0.520363267148015
"19","Vaccinium vitis-idaea",656,141824,0.462545126353791
"19","Agastache pallidiflora",494,141824,0.3483190433213
"19","Arenaria globiflora",490,141824,0.345498646209386
"20","Mertensia ciliata",15434,48535,31.7997321520552
"20","Mertensia fusiformis",15386,48535,31.7008344493664
"20","Parnassia palustris",3811,48535,7.85206551972803
"20","Hydrophyllum fendleri",3119,48535,6.42629030596477
"20","Lupinus argenteus",2006,48535,4.13309982486865
"20","Erigeron grandiflorus",1530,48535,3.1523642732049
"20","Geum ternatum",831,48535,1.71216647779953
"20","Lupinus sericeus",829,48535,1.70804574018749
"20","Taraxacum officinale",753,48535,1.55145771093026
"20","Hydrophyllum canadense",705,48535,1.45256000824148
"20","Epilobium canum",663,48535,1.36602451838879
"20","Symphyotrichum foliaceum",418,48535,0.861234160914804
"20","Cirsium parryi",405,48535,0.834449366436592
"20","Cynoglossum anchusoides",287,48535,0.591325847326671
"20","Cynoglossum pringlei",265,48535,0.545997733594313
"21","Hydrophyllum fendleri",17841,28285,63.0758352483649
"21","Hydrophyllum canadense",4249,28285,15.0220965175888
"21","Parnassia palustris",1761,28285,6.22591479582818
"21","Hydrophyllum capitatum",709,28285,2.50662895527665
"21","Erigeron grandiflorus",346,28285,1.22326321371752
"21","Taraxacum officinale",337,28285,1.19144422838961
"21","Lupinus sericeus",321,28285,1.13487714336221
"21","Geum ternatum",300,28285,1.06063284426374
"21","Mertensia fusiformis",299,28285,1.05709740144953
"21","Cirsium parryi",260,28285,0.919215131695245
"21","Symphyotrichum foliaceum",232,28285,0.820222732897295
"21","Lupinus argenteus",211,28285,0.745978433798833
"21","Mertensia ciliata",194,28285,0.685875905957221
"21","Epilobium canum",167,28285,0.590418949973484
"21","Nemophila menziesii",127,28285,0.449001237404985
"22","Parnassia palustris",5,32,15.625
"22","Delphinium nuttallianum",4,32,12.5
"22","Lupinus argenteus",4,32,12.5
"22","Mertensia ciliata",3,32,9.375
"22","Delphinium barbeyi",3,32,9.375
"22","Lupinus sericeus",2,32,6.25
"22","Hydrophyllum canadense",2,32,6.25
"22","Hydrophyllum fendleri",2,32,6.25
"22","Mertensia fusiformis",1,32,3.125
"22","Symphyotrichum foliaceum",1,32,3.125
"22","Cirsium parryi",1,32,3.125
"22","Taraxacum officinale",1,32,3.125
"22","Helianthella quinquenervis",1,32,3.125
"22","Heterotheca villosa",1,32,3.125
"22","Erigeron grandiflorus",1,32,3.125
"23","Delphinium barbeyi",38912,66752,58.2933844678811
"23","Delphinium nuttallianum",11475,66752,17.1904961649089
"23","Delphinium gracile",6116,66752,9.16227229146692
"23","Viola odorata",3796,66752,5.68672099712368
"23","Trollius europaeus",552,66752,0.826941514860978
"23","Caltha palustris",525,66752,0.786493288590604
"23","Potentilla pulcherrima",498,66752,0.74604506232023
"23","Lithophragma parviflorum",482,66752,0.722075743048897
"23","Aquilegia ecalcarata",367,66752,0.549796260786194
"23","Thalictrum tuberosum",275,66752,0.411972674976031
"23","Arenaria globiflora",271,66752,0.405980345158197
"23","Cynoglossum amplifolium",249,66752,0.373022531160115
"23","Corydalis aitchisonii",245,66752,0.367030201342282
"23","Dasiphora fruticosa",202,66752,0.302612655800575
"23","Lupinus sericeus",191,66752,0.286133748801534
"24","Delphinium barbeyi",5159,11976,43.0778223112892
"24","Delphinium nuttallianum",3219,11976,26.8787575150301
"24","Delphinium gracile",1652,11976,13.7942551770207
"24","Taraxacum officinale",430,11976,3.59051436205745
"24","Trollius europaeus",166,11976,1.38610554442218
"24","Dasiphora fruticosa",150,11976,1.25250501002004
"24","Caltha palustris",147,11976,1.22745490981964
"24","Parnassia palustris",119,11976,0.993653974615898
"24","Aquilegia ecalcarata",96,11976,0.801603206412826
"24","Taraxacum cucullatum",85,11976,0.709752839011356
"24","Thalictrum tuberosum",61,11976,0.50935203740815
"24","Corydalis aitchisonii",59,11976,0.492651970607882
"24","Thalictrum thalictroides",54,11976,0.450901803607214
"24","Orthilia secunda",45,11976,0.375751503006012
"24","Helianthella quinquenervis",39,11976,0.32565130260521
"25","Delphinium barbeyi",24322,54192,44.8811632713316
"25","Delphinium nuttallianum",14397,54192,26.5666519043401
"25","Delphinium gracile",8440,54192,15.5742545025096
"25","Trollius europaeus",947,54192,1.74749040448775
"25","Caltha palustris",593,54192,1.0942574549749
"25","Taraxacum officinale",464,54192,0.856214939474461
"25","Aquilegia ecalcarata",411,54192,0.758414526129318
"25","Parnassia palustris",364,54192,0.671685857691172
"25","Thalictrum tuberosum",328,54192,0.605255388249188
"25","Dasiphora fruticosa",275,54192,0.507454974904045
"25","Thalictrum thalictroides",209,54192,0.385665780927074
"25","Mertensia fusiformis",208,54192,0.383820490109241
"25","Lupinus sericeus",201,54192,0.370903454384411
"25","Corydalis aitchisonii",160,54192,0.295246530853262
"25","Erigeron grandiflorus",158,54192,0.291555949217597
"26","Delphinium barbeyi",171592,388214,44.200363716919
"26","Delphinium nuttallianum",108988,388214,28.0742064943562
"26","Delphinium gracile",52942,388214,13.6373237441205
"26","Taraxacum officinale",8448,388214,2.17611935684957
"26","Trollius europaeus",6343,388214,1.63389264683911
"26","Caltha palustris",4126,388214,1.0628158695977
"26","Thalictrum tuberosum",2912,388214,0.750101748004966
"26","Aquilegia ecalcarata",2618,388214,0.674370321523696
"26","Hydrophyllum capitatum",2335,388214,0.601472383788323
"26","Thalictrum thalictroides",1921,388214,0.494830170988166
"26","Taraxacum cucullatum",1772,388214,0.45644927797555
"26","Dasiphora fruticosa",1464,388214,0.377111593090409
"26","Anemone chinensis",1346,388214,0.346715986543504
"26","Viola odorata",1023,388214,0.263514453368503
"26","Actaea heracleifolia",967,388214,0.249089419753023
"27","Delphinium barbeyi",25683,58001,44.2802710298098
"27","Delphinium nuttallianum",16430,58001,28.3270978086585
"27","Delphinium gracile",7556,58001,13.0273615972138
"27","Trollius europaeus",1288,58001,2.22065136807986
"27","Parnassia palustris",713,58001,1.22928915018707
"27","Thalictrum tuberosum",540,58001,0.931018430716712
"27","Caltha palustris",459,58001,0.791365666109205
"27","Thalictrum thalictroides",329,58001,0.567231599455182
"27","Hydrophyllum capitatum",313,58001,0.539645868174687
"27","Lupinus argenteus",295,58001,0.50861192048413
"27","Dasiphora fruticosa",285,58001,0.49137083843382
"27","Anemone chinensis",269,58001,0.463785107153325
"27","Aquilegia ecalcarata",263,58001,0.453440457923139
"27","Lupinus sericeus",260,58001,0.448268133308046
"27","Erigeron grandiflorus",235,58001,0.405165428182273
"28","Delphinium barbeyi",33236,71784,46.3000111445447
"28","Delphinium nuttallianum",19779,71784,27.5534938147777
"28","Delphinium gracile",10354,71784,14.4238270366656
"28","Trollius europaeus",939,71784,1.30809093948512
"28","Caltha palustris",721,71784,1.00440209517441
"28","Cynoglossum amplifolium",713,71784,0.993257550429065
"28","Thalictrum tuberosum",604,71784,0.84141312827371
"28","Aquilegia ecalcarata",379,71784,0.527972807310821
"28","Populus alba",345,71784,0.480608492143096
"28","Thalictrum thalictroides",338,71784,0.470857015490917
"28","Anemone chinensis",316,71784,0.440209517441213
"28","Dasiphora fruticosa",270,71784,0.376128385155466
"28","Erigeron grandiflorus",210,71784,0.292544299565363
"28","Berberis sibirica",188,71784,0.261896801515658
"28","Lupinus argenteus",185,71784,0.257717597236153
"29","Agastache pallidiflora",50501,201510,25.0612872810282
"29","Delphinium barbeyi",35781,201510,17.7564388864076
"29","Delphinium nuttallianum",12449,201510,6.17785717830381
"29","Delphinium gracile",7561,201510,3.75217110813359
"29","Helianthella quinquenervis",2908,201510,1.44310456056771
"29","Lupinus argenteus",2740,201510,1.3597340082378
"29","Campanula rotundifolia",2703,201510,1.34137263659372
"29","Phlox douglasii",2701,201510,1.34038013001836
"29","Populus alba",2676,201510,1.32797379782641
"29","Cynoglossum amplifolium",2432,201510,1.20688799563297
"29","Taraxacum officinale",2297,201510,1.13989380179644
"29","Lithophragma parviflorum",2205,201510,1.09423849933006
"29","Hydrophyllum canadense",2128,201510,1.05602699617885
"29","Osmorhiza aristata",2126,201510,1.05503448960349
"29","Campanula argaea",2107,201510,1.04560567713761
"3","Delphinium barbeyi",4681,16870,27.7474807350326
"3","Epilobium canum",4381,16870,25.9691760521636
"3","Delphinium nuttallianum",3306,16870,19.5969176052164
"3","Delphinium gracile",1059,16870,6.27741553052756
"3","Pseudognaphalium attenuatum",1045,16870,6.19442797866034
"3","Cynoglossum pringlei",413,16870,2.44813278008299
"3","Arenaria globiflora",246,16870,1.45820983995258
"3","Cirsium parryi",158,16870,0.936573799644339
"3","Karpatiosorbus devoniensis",98,16870,0.580912863070539
"3","Symphyotrichum foliaceum",97,16870,0.574985180794309
"3","Hydrophyllum canadense",89,16870,0.527563722584469
"3","Lupinus sericeus",84,16870,0.497925311203319
"3","Mertensia ciliata",82,16870,0.48606994665086
"3","Caltha palustris",78,16870,0.46235921754594
"3","Thalictrum thalictroides",69,16870,0.40901007705987
"30","Mertensia fusiformis",77561,282084,27.4957104975823
"30","Lupinus argenteus",49939,282084,17.7035918378923
"30","Mertensia ciliata",48791,282084,17.296620864707
"30","Delphinium barbeyi",29197,282084,10.3504629826576
"30","Delphinium nuttallianum",16705,282084,5.92199486677727
"30","Cynoglossum pringlei",12730,282084,4.5128401469066
"30","Delphinium gracile",9348,282084,3.31390649593738
"30","Erigeron grandiflorus",7517,282084,2.66480906396676
"30","Cynoglossum anchusoides",6452,282084,2.28726195034103
"30","Cynoglossum amplifolium",6103,282084,2.16353993845805
"30","Campanula rotundifolia",2441,282084,0.865345074516811
"30","Populus alba",2364,282084,0.838048240949504
"30","Trollius europaeus",1129,282084,0.400235390876477
"30","Arenaria globiflora",799,282084,0.283248961302307
"30","Caltha palustris",703,282084,0.249216545426185
"31","Lupinus argenteus",82900,186276,44.5038544954798
"31","Lupinus sericeus",36017,186276,19.3352874229638
"31","Delphinium barbeyi",9125,186276,4.89864502136615
"31","Viola odorata",9003,186276,4.83315080847774
"31","Vicia americana",8854,186276,4.7531619747042
"31","Delphinium nuttallianum",5905,186276,3.17002727136078
"31","Lithophragma parviflorum",3917,186276,2.10279370396616
"31","Campanula rotundifolia",2833,186276,1.52086151731839
"31","Delphinium gracile",2338,186276,1.25512680109085
"31","Mertensia ciliata",2262,186276,1.21432712748824
"31","Saxifraga x geum",1649,186276,0.88524554961455
"31","Crataegus bipinnatifida",1633,186276,0.87665614464558
"31","Agastache pallidiflora",1556,186276,0.835319633232408
"31","Hydrophyllum capitatum",1543,186276,0.828340741695119
"31","Arenaria globiflora",1542,186276,0.827803903884558
"32","Delphinium barbeyi",60571,134862,44.9133187999585
"32","Delphinium nuttallianum",36104,134862,26.7710696860494
"32","Delphinium gracile",18758,134862,13.909032937373
"32","Trollius europaeus",1902,134862,1.41033056012813
"32","Cynoglossum amplifolium",1638,134862,1.21457489878543
"32","Hydrophyllum canadense",1499,134862,1.11150657709362
"32","Caltha palustris",1328,134862,0.984710296451187
"32","Populus alba",1305,134862,0.967655825955421
"32","Thalictrum tuberosum",1010,134862,0.748913704379292
"32","Aquilegia ecalcarata",711,134862,0.527205587934333
"32","Dasiphora fruticosa",642,134862,0.476042176447035
"32","Thalictrum thalictroides",636,134862,0.471593184143791
"32","Hydrophyllum fendleri",553,134862,0.410048790615592
"32","Anemone chinensis",546,134862,0.404858299595142
"32","Taraxacum officinale",461,134862,0.341830908632528
"33","Delphinium barbeyi",46,199,23.1155778894472
"33","Delphinium nuttallianum",46,199,23.1155778894472
"33","Populus alba",20,199,10.0502512562814
"33","Thalictrum tuberosum",16,199,8.04020100502512
"33","Mertensia ciliata",14,199,7.03517587939699
"33","Symphyotrichum foliaceum",10,199,5.0251256281407
"33","Lupinus argenteus",8,199,4.02010050251256
"33","Aquilegia ecalcarata",5,199,2.51256281407035
"33","Hydrophyllum fendleri",5,199,2.51256281407035
"33","Hydrophyllum canadense",4,199,2.01005025125628
"33","Viola odorata",4,199,2.01005025125628
"33","Lithophragma parviflorum",3,199,1.50753768844221
"33","Mertensia fusiformis",3,199,1.50753768844221
"33","Ipomopsis aggregata",3,199,1.50753768844221
"33","Delphinium gracile",3,199,1.50753768844221
"35","Delphinium barbeyi",85764,186040,46.0997634917222
"35","Delphinium nuttallianum",52561,186040,28.2525263384218
"35","Delphinium gracile",22507,186040,12.0979359277575
"35","Viola odorata",2981,186040,1.60234358202537
"35","Trollius europaeus",2376,186040,1.2771447000645
"35","Dasiphora fruticosa",1655,186040,0.889593635777252
"35","Caltha palustris",1498,186040,0.805203182111374
"35","Mertensia fusiformis",1487,186040,0.799290475166631
"35","Aquilegia ecalcarata",1169,186040,0.62835949258224
"35","Hydrophyllum canadense",1080,186040,0.580520318211137
"35","Lupinus argenteus",994,186040,0.53429370027951
"35","Thalictrum tuberosum",981,186040,0.52730595570845
"35","Mertensia ciliata",800,186040,0.430015050526768
"35","Thalictrum thalictroides",740,186040,0.397763921737261
"35","Anemone chinensis",714,186040,0.383788432595141
"36","Delphinium nuttallianum",14722,56427,26.0903468197849
"36","Delphinium barbeyi",8677,56427,15.3773902564375
"36","Lupinus argenteus",6828,56427,12.1005901430166
"36","Lupinus sericeus",6657,56427,11.7975437290659
"36","Hydrophyllum fendleri",3881,56427,6.87791305580662
"36","Mertensia ciliata",3268,56427,5.7915536888369
"36","Erigeron grandiflorus",1557,56427,2.75931734807805
"36","Cynoglossum amplifolium",1242,56427,2.20107395395821
"36","Populus alba",1191,56427,2.11069169014833
"36","Taraxacum officinale",1102,56427,1.95296577879384
"36","Epilobium canum",806,56427,1.42839420844631
"36","Hydrophyllum canadense",735,56427,1.30256791961295
"36","Cirsium parryi",705,56427,1.24940188207773
"36","Delphinium gracile",610,56427,1.08104276321619
"36","Mertensia fusiformis",574,56427,1.01724351817392
"38","Hydrophyllum canadense",91457,141707,64.5395075754903
"38","Hydrophyllum fendleri",35190,141707,24.8329299187761
